Sensor Type,Sensor Type Numeral,Pos X/ rho,Pos Y/ phi,drho,Timestamp,Ground_Truth_X,Ground_Truth_Y,Ground_Truth_Vx,Ground_Truth_Vy,Yaw,Yaw_Rate,VX_Calculated,VY_Calculated,Yaw_Calculated,Yaw_rate_Calculated
L,1,3.12E-01,5.80E-01,0,1.48E+15,6.00E-01,6.00E-01,5.20E+00,0,0,6.91E-03,3.122427,5.803398,1.077186249,1.077186249
L,1,1.17E+00,4.81E-01,0,1.48E+15,1.12E+00,6.00E-01,5.20E+00,5.39E-03,1.04E-03,2.07E-02,8.616053,-0.992669,-0.114705831,-0.890982373
L,1,1.65E+00,6.25E-01,0,1.48E+15,1.64E+00,6.01E-01,5.20E+00,1.80E-02,3.45E-03,3.45E-02,4.76778,1.436175,0.292580359,-0.563010776
L,1,2.19E+00,6.49E-01,0,1.48E+15,2.16E+00,6.04E-01,5.20E+00,3.77E-02,7.25E-03,4.83E-02,5.38198,0.240488,0.044654223,-1.096265037
L,1,2.66E+00,6.66E-01,0,1.48E+15,2.68E+00,6.09E-01,5.19E+00,6.46E-02,1.24E-02,6.21E-02,4.66432,0.172406,0.03694591,0.094583587
L,1,3.01E+00,6.37E-01,0,1.48E+15,3.20E+00,6.17E-01,5.19E+00,9.85E-02,1.90E-02,7.58E-02,3.56967,-0.289343,-0.080879134,0.399176977
L,1,3.89E+00,3.12E-01,0,1.48E+15,3.72E+00,6.29E-01,5.19E+00,1.40E-01,2.69E-02,8.95E-02,8.81427,-3.252525,-0.353505977,-0.514284084
L,1,4.31E+00,5.79E-01,0,1.48E+15,4.24E+00,6.45E-01,5.18E+00,1.88E-01,3.62E-02,1.03E-01,4.15696,2.667707,0.57054993,-0.904232161
L,1,4.35E+00,8.99E-01,0,1.48E+15,4.75E+00,6.67E-01,5.18E+00,2.43E-01,4.68E-02,1.17E-01,0.42085,3.206104,1.440277315,-0.143121017
L,1,5.52E+00,6.48E-01,0,1.48E+15,5.27E+00,6.94E-01,5.17E+00,3.04E-01,5.88E-02,1.30E-01,11.67504,-2.509414,-0.211717247,-0.469913352
L,1,6.02E+00,7.09E-01,0,1.48E+15,5.79E+00,7.28E-01,5.16E+00,3.73E-01,7.22E-02,1.43E-01,5.03068,0.603866,0.119465061,-0.438180613
L,1,6.34E+00,9.49E-01,0,1.48E+15,6.30E+00,7.69E-01,5.15E+00,4.48E-01,8.68E-02,1.57E-01,3.20483,2.402133,0.643203591,-0.777787353
L,1,6.78E+00,7.14E-01,0,1.48E+15,6.82E+00,8.18E-01,5.13E+00,5.30E-01,1.03E-01,1.70E-01,4.39657,-2.347967,-0.490511365,-1.324982685
L,1,7.14E+00,9.57E-01,0,1.48E+15,7.33E+00,8.75E-01,5.12E+00,6.18E-01,1.20E-01,1.83E-01,3.55207,2.431806,0.600326734,-1.395919079
L,1,7.81E+00,7.19E-01,0,1.48E+15,7.84E+00,9.42E-01,5.10E+00,7.12E-01,1.39E-01,1.96E-01,6.67984,-2.380904,-0.342392727,-0.994492902
L,1,8.25E+00,8.40E-01,0,1.48E+15,8.35E+00,1.02E+00,5.08E+00,8.13E-01,1.59E-01,2.09E-01,4.42625,1.211958,0.267260905,-1.010587199
L,1,8.75E+00,1.05E+00,0,1.48E+15,8.86E+00,1.10E+00,5.05E+00,9.19E-01,1.80E-01,2.22E-01,4.98186,2.082541,0.395947782,1.00275793
L,1,9.26E+00,1.05E+00,0,1.48E+15,9.36E+00,1.20E+00,5.02E+00,1.03E+00,2.02E-01,2.34E-01,5.09643,0.00553,0.001085073,-1.515691173
L,1,1.00E+01,1.45E+00,0,1.48E+15,9.86E+00,1.31E+00,4.99E+00,1.15E+00,2.26E-01,2.47E-01,7.92602,3.96849,0.464200571,0.950729945
L,1,1.02E+01,1.46E+00,0,1.48E+15,1.04E+01,1.43E+00,4.95E+00,1.27E+00,2.51E-01,2.59E-01,2.0083,0.1309,0.065087437,0.575313899
L,1,1.07E+01,1.45E+00,0,1.48E+15,1.09E+01,1.57E+00,4.91E+00,1.40E+00,2.77E-01,2.71E-01,4.8204,-0.06415,-0.013307239,-0.069250065
L,1,1.16E+01,1.61E+00,0,1.48E+15,1.13E+01,1.71E+00,4.86E+00,1.53E+00,3.05E-01,2.83E-01,8.557,1.61971,0.187071571,0.423385706
L,1,1.18E+01,1.75E+00,0,1.48E+15,1.18E+01,1.87E+00,4.81E+00,1.66E+00,3.33E-01,2.95E-01,1.9181,1.31283,0.6002085,0.046191645
L,1,1.23E+01,1.78E+00,0,1.48E+15,1.23E+01,2.04E+00,4.75E+00,1.80E+00,3.63E-01,3.06E-01,5.4382,0.37626,0.069078248,-0.260039151
L,1,1.26E+01,2.18E+00,0,1.48E+15,1.28E+01,2.23E+00,4.68E+00,1.94E+00,3.94E-01,3.18E-01,2.6982,3.91559,0.967429046,-0.91201263
L,1,1.31E+01,2.41E+00,0,1.48E+15,1.32E+01,2.43E+00,4.60E+00,2.09E+00,4.26E-01,3.29E-01,4.9504,2.31989,0.43823553,-0.61641273
L,1,1.38E+01,2.62E+00,0,1.48E+15,1.37E+01,2.65E+00,4.52E+00,2.24E+00,4.59E-01,3.40E-01,7.4852,2.17712,0.283047411,-0.056264523
L,1,1.42E+01,2.94E+00,0,1.48E+15,1.41E+01,2.88E+00,4.44E+00,2.39E+00,4.93E-01,3.51E-01,3.7458,3.17258,0.702732326,-0.260174578
L,1,1.45E+01,2.91E+00,0,1.48E+15,1.46E+01,3.13E+00,4.34E+00,2.54E+00,5.29E-01,3.61E-01,2.5106,-0.34711,-0.137386812,1.233284339
L,1,1.50E+01,3.51E+00,0,1.48E+15,1.50E+01,3.39E+00,4.24E+00,2.69E+00,5.65E-01,3.71E-01,5.6447,5.99361,0.815368625,1.111734049
L,1,1.55E+01,3.83E+00,0,1.48E+15,1.54E+01,3.67E+00,4.13E+00,2.84E+00,6.03E-01,3.82E-01,4.9747,3.22663,0.575396008,1.3332277
L,1,1.60E+01,4.00E+00,0,1.48E+15,1.58E+01,3.96E+00,4.01E+00,2.99E+00,6.41E-01,3.91E-01,4.5389,1.71576,0.361408966,1.289975641
L,1,1.63E+01,4.44E+00,0,1.48E+15,1.62E+01,4.26E+00,3.88E+00,3.14E+00,6.80E-01,4.01E-01,3.5383,4.44052,0.89799675,-1.218859454
L,1,1.66E+01,4.67E+00,0,1.48E+15,1.66E+01,4.58E+00,3.74E+00,3.28E+00,7.21E-01,4.10E-01,2.7264,2.28445,0.697427192,1.210654511
L,1,1.70E+01,5.21E+00,0,1.48E+15,1.70E+01,4.92E+00,3.59E+00,3.43E+00,7.62E-01,4.19E-01,3.9155,5.37557,0.941271061,1.203563963
L,1,1.73E+01,5.44E+00,0,1.48E+15,1.73E+01,5.27E+00,3.44E+00,3.57E+00,8.04E-01,4.28E-01,2.9396,2.24422,0.652049897,1.268681723
L,1,1.78E+01,5.62E+00,0,1.48E+15,1.77E+01,5.64E+00,3.28E+00,3.71E+00,8.47E-01,4.37E-01,4.9587,1.89343,0.364753855,-0.172018792
L,1,1.81E+01,6.17E+00,0,1.48E+15,1.80E+01,6.01E+00,3.10E+00,3.84E+00,8.91E-01,4.45E-01,3.41,5.45087,1.011774142,-1.160199344
